@relation twitter
@attribute Text string
@attribute class-att {in,out}

@data
"@Timdpl USURPATION DE BLAZE",out
"290 have monster under the bed superdemi saveeee me for help to Demi kick out the monster ???Vote for my idol ?? #votedemilovato",out
"Excited to be in Sweden about to start live commentary with @TourDeJose for the @UCIWomenCycling World Cup t.co IS4iEEYMcm",out
"Well Gotta figure our out how to pack back on the plane tomorrow",out
"@Lulacorn @NZbloggers be weird embrace the weird let it out",out
"She is the female Version of Young Thug @Thuggaholic Then there Iggy who makes music for basic hoes",out
"Security of the world Craig ??",out
"feel good",out
"With @stellasamola at Poppies Lane t.co D2qDrEtPHu",out
"@thepatrickxd hastag WINNING",out
"Music makes the difference",out
"Shawty got that stupid wet ?? Call it slip slide ??",out
"Start talking to myself ?",out
"Last night in town #colonthefacesandles oregon city oregon t.co 4zo1eqDwZP",out
"someone said me Bonjour Mademoiselle #topchicis t.co XIJjVpmaH2 t.co oipSDdl7JH",out
"Cuuuuute",out
"@Real_Liam_Payne What else can do to ensure that you follow me seguime please ~]]",out
"Why is this generation so fucked up",out
"do miss la senget",out
"With @winiecp and @rannanha at Seven eleven t.co 76iEYjpRJ0",out
"@EbiIsQuiet at least am not getting livid when see his name on the team sheet rumours of cleverley new contract had you in knots lol",out
"Senin yeay",out
"@DIYhacks Bacon wrapped cinnamon rolls Breakfast of champions ? t.co gX9nKUomYU",out
"lmao these wings good af right now ? t.co 3NpUcICehq",out
"at Aldente @vyaggio in 71100 Foggia t.co snP9ib6wO9",out
"Ren stimpy night",out
"Ed Sheeran will be in Manila And hate myself for being poorits *crays *crays",out
"Becca and Marcus were so drunk last night ?",out
"@devynschnake turn up too real",out
"Wind mph Barometer 1013.58 mb Rising slowly Temperature 11.6 °C Rain today 0.2 mm Humidity 81%",out
"Mind and your body got an equal girl",out
"@courtneyfaubel go to bed peasant",out
"??? Here Go These Horny Ass Kids On My TL Retweeting All These Freaky Ass Pictures Lmao",out
"Why am still up",out
"Wanna Go Home",out
"When did say liked you",out
"Time for coffee and CNN #icantsleep",out
"@YeaBigMike yuh mike ?? werk",out
"Quote retweet and repost this tweet if you want Demi to win her second VMA #VoteDemiLovato t.co nZvzGUYGpD 78",out
"And turned down both of them",out
"Cruise control to back home",out
"“@RedmenDesigns Welcome to Liverpool Mario Balotelli t.co ULQ8mjml6t” welcome back to the premier league you bad boy",out
"please anyone no ok ?",out
"@Rosa30STMars @JaredLeto Constance Jared t.co n3dB0592NF nO OLVIDES EMMA PLS ???",out
"???? thank you",out
"??? @FrencheskaFarr If its not ok its not the end ?",out
"Only pictures got from yesterday solar system hanging one tent and spinning UFO in the other t.co wz1RrLIZ9Z",out
"@cthoyt @emiliiss @ThePerrone *worcester",out
"“@ACommonFemaIe IS SHE ALIVE ?? t.co zuhOVDyqi5” see the vine caption damn it",out
"Wanted lie in Didn get one Sunday shouldn have any wake up call from anywhere",out
"15.9 gallons of beer finished tonight #tk21",out
"so fuxked up just tried putting my shoe on the wrong foot",out
"happy birthday bro miss you @ToucanFarmer",out
"What up #votedemilovato",out
"acquire skills #MSLS2014 @UKEC",out
"@ImtiazTyabAJE @AJELive #Gaza Live Blog Israeli airstrikes level Gaza buildings @ImtiazTyabAJE t.co nGQdcoNlKM”",out
"@pitbull hi what up",out
"@asacuteboy will",out
"Throw back IBPstudio t.co PcK4LZBrzU",out
"The one long lie opportunity of the week and get up at then go run ?",out
"@EmilyTutaki @muamuav @minimacx2 @lisatagaloa @Bobbie_Barnett @TezH77 ve been Mia as well chat about same stuff all time lol #gigatownpor",out
"Wild just like me love that shit",out
"TIL if you block social widgets fb twitter etc using AdBlock or uBlock on @hulu videos don play but ads still do",out
"walk in say km fucked up my says why ???",out
"@SweetLoveMsg If two people are meant to be together eventually they ll find their way back",out
"Great night Great people t.co AqNf0GSGiv",out
"#mocbrand #becauseimhappy #hat #pharrell #?? KICKBACK t.co rNJ86yH2uA",out
"Be careful with your word the devil can use you attention brain sight meditation association attitude dreams and mostly YOUR WORDS",out
"Im the dickhead that forgets nowhwres open before 10 on weekend",out
"With Filippo Rieke and Barra at Centro t.co cdHsZ4sS5e",out
"Shit got me fucked up",out
"Happy birthday Jembrong?????? with Abigail @hizkiacool and others at @shangrilajkt t.co mruPSNaKDm",out
"@MrFlyingPigHD Think LVG will try move to 433 or stick to 532",out
"@K_juicyxo same shit doing except in my bed like your avi ??",out
"More caps exclusively available now #mydubai #mycommunity #dubai #uae #qatar #ksa #bahrain #kuwait… t.co 4K7H8WzvgA",out
"@DreMichael11 idk which state got the worst but know the south got the worst in general",out
"@YugyeomIDcom [PIC] #GOT7 Japan Mobile Update #Yugyeom SELFIE t.co hlE8GpNKC7",out
"This cereal hitting all the spots ?",out
"thr best feeling is putting on warm as clothes after nice shower #readyforbed",out
"“@HeyItsJoy Why can the weather be like this for tomorrow ?”lol ? you never know hun ?",out
"@aryanalexys thank you",out
"FAITH HOPE LOVE",out
"dont give Fv*k who your daddy is",out
"Fuck my life man ?",out
"@JayLloyd_91 why what you doing mate Going the Toby Arrrr Laffin that it gonna be booooomin in there mate",out
