@relation twitter
@attribute Text string
@attribute class-att {in,out}

@data
"@HolocaustCentUK If had time come and offer an extra pair of hands",out
"can believe that just happened?",out
"#IT #Job alert Senior Program Manager Multichannel und Commerce Plattf Accenture #Berlin t.co LtjWKleZpE",out
"Feel so guilty",out
"Currently Temp 8.5c Wind 2.6 kts WSW Rain today 0.2 mm Pressure 1013.89 mb Rising slowly Sunshine 0.2hrs #brampton #cumbriaweather",out
"@iTeabagU is the realest follower have",out
"Current #LondonWeather 13°C Clear Sunny #London t.co jNrtiRBVCW t.co hhVj65BF6b",out
"@AlyssaValdez2 fansign please for my friend Mayet Cadag gift for her upcoming birthday ???? thanks idol",out
"feel like annoying tray lmfao",out
"@malwinder25 hain patiala urban SAD winning Really",out
"Re watched all of the Die Hard movies… is best by far the worst is super fun is less bad on re watch seems most dated",out
"? remember you gave me phone charger one time real MVP for that ?",out
"@15minutegamer is that still going on stopped days ago",out
"project set the expectations of high school parties way too high",out
"??????? you are like pizza bc love can joking Michael Clifford pls follow me ??????? #vote5sos @Michael5SOS ?2655",out
"With the girlsss Sushi King in Ampang Selangor t.co EURnDcA1yZ",out
"me shyanne are starting band called ULTRADETH",out
"Come on Leeds show these soft southerners how to do it WAFLL MOT #lufc",out
"@_gabrielexx my heads pounding",out
"Knowing we are millions of miles away kill me so much??",out
"New day New life t.co lDkuKZEysX",out
"It was great disaster movie that have seen before #IntoTheStorm #ScareLikeCrazy #DontGoIntoIt",out
"Had really fun time at #SunshineNation2014 with @iammcjin this year Support #3 Stephen all the way t.co H0TlWf3YFE",out
"Match Day Sausage and Egg cob then off to the bookies and then the ipro ? #DCFC",out
"These Heinekens are going down super smooth ??",out
"@Sandra_IAre Lol so how much data do you buy for month",out
"October is gonna be my month",out
"am emotional wreck today",out
"Kidnapped him Then disappeared",out
"never had chicken fry in my life",out
"Reached my breaking point",out
"@Norazwani_Razak follow me back",out
"Why do people always show they re partying on social media No one cares",out
"Bitch don kill my vibe",out
"Morning dear friends how are you today What are your plans for the weekend hope it good one xxx @star_curl @CheekyLSquirrel",out
"Happy birthday to the very vocal and very talented @JosieClemow hope its good one live it up over there #TenFeetTall",out
"get you all the time The Coffee Bean Tea Leaf Petron Slex t.co WIQmDINNi0",out
"@tiafost3r @bayyrich hope this isn true",out
"@OkuhleMciteka Mama birthday today Turn Up Hhip Hhip Hooray",out
"@miapia____ tHANK",out
"Work is beyond long?",out
"miss you so much ?",out
"Nobody even wants to ?",out
"@MagnumSA mmm going buy my magnum ice cream .white almond its so creamy delicious tasty",out
"Woaaaaahhhh t.co UEq7IdZWWh",out
"@MyDelenaWorld Glad that there re not many pics of together #sns",out
"still up watching Netflix bc trying to finish this series that just started like at 12",out
"Should accept my role as villain",out
"@StNimbus That functionally the same as God This is where the ontological argument makes case",out
"Weird how you use to be my rock and now your soo distant and different can even tell the real you",out
"@tarammack ok see you lol finna see you on espn in like years haha",out
"#mbm24giveaway have been tweeting all week ?i probs wont win???but ily& this would be perfect for me???????",out
"Fine afternoon Vivi The Coffee Place in Phra Nakhon Bangkok t.co 7UdMQP9tet",out
"Whole Squad on that Real Shit",out
"@ForsonRex2605 we dey cm nw norr",out
"am not sleepy ?",out
"IF STAY WAS SO GOOD EVERYONE GO SEE IT",out
"@Knutterbutters @YoGabbaMo uh oh better wake your game up lol where you been at lol been bein fat and preggo but ??",out
"@BTRTG @mostHaider @CUpshaw2077 Thanks for the follow",out
"Standing up to sing the NZ anthem is something of tradition in our lounge #AUSvNZL",out
"“@ovo_justin10 @turntlarissa idc as long as it you who keeps me up okay with it ???” ily",out
"@916speed You have great weekend as well ?",out
"have to wake up super early cause my parents are coming ?",out
"Oripoto 03 00 Temp 18 4°C Lluv 0mm Hum 93% Pres 1009 62mb 0km Raf 6km IndC 18 4°C Rat 0mm UV",out
"@DTHam2 like hookah like you guys too until you guys banished me like was in the lion king",out
"What would do without you baby",out
"want to go skating ?",out
"“@WayneDyerQuotes We Don Define Others by our Judgements We Simply Defining Ourselves as People who Need Judge ~Wayne Dyer #quote”",out
"at Block in Mexico DF t.co CtSMquHhk4",out
"Throw that money in the air say yeah",out
"@VictoriaIsabelH There nothing wrong from moving on from being treated wrong ??",out
"Gaaahd damn she nice at ball",out
"#votedemilovato cause she an american lol love you @ddlovato 71",out
"This little lady to the left is 16 years old and can believe it Thank you for being the best and… t.co wevUwMYH7v",out
"Thinking where to go tonight",out
"Fire away #votedemilovato",out
"Six grad students blacked out in diner at 30 am",out
"Gonna be really moody today can handle this early morning atall??",out
"Goodnight guys????",out
"@nicoleswan123 wow your alive",out
"@FactsAboutBoys when you give him that just shut the fuck up because know you re lying face t.co tPmhVFBFYB",out
"? shit dont have life on this friday night",out
"Accenture Enterprise Performance Management Senior Manager #Brussels t.co IC936eO8dJ #BusinessMgmt #Job #Jobs",out
"If you female and you wear lipstick learn to out it on right Don be having it all on yo top lip bruh That ain cute",out
"Suppose to meet them 30 Now is 30",out
"Lunchy ? with Ferliady at Waroeng Steak Shake t.co aLbvzxeWcj",out
"@almalexis_ RFT “@jimmy_matias IF YOU THINK ALMA IS RAD lates lol",out
"Wind 0.0 mph SSE Barometer 1010.2 hPa Falling slowly Temperature 77.5 °F Rain today 0.01 in Humidity 99%",out
"? Guardians of the Galaxy with @cindyauriel @faradillia and others at @cinema21 t.co 2jD6SN8VaB",out
"@GritFX The best #GuardiansOfTheGalaxy Tees t.co uVpIjDZTkR No.16 Galaxy Rockets #RocketRaccoon t.co d67CeXfpJS",out
"Dead wrong trey songs ft ty dolla $ign",out
"With @riaatimothy Kopet and @agustinshintaa at Wisata Goa Rong t.co A8lHrNn8cJ",out
"Oomf and right now omg ???",out
